,0,,,,1
119,78.64405826,17.37650706,78.64905826,17.37150706,1476.729756
120,78.64905826,17.37650706,78.65405826,17.37150706,1821.504569
121,78.65405826,17.37650706,78.65905826,17.37150706,1028.411269
122,78.65905826,17.37650706,78.66405826,17.37150706,1708.789707
123,78.66405826,17.37650706,78.66905826,17.37150706,1122.260909
124,78.66905826,17.37650706,78.67405826,17.37150706,5535.920058
125,78.66405826,17.38650706,78.66905826,17.38150706,3568.549001
126,78.66405826,17.38150706,78.66905826,17.37650706,842.8200795
127,78.64905826,17.39150706,78.65405826,17.38650706,1657.172523
128,78.65405826,17.39150706,78.65905826,17.38650706,3542.508256
129,78.65905826,17.39150706,78.66405826,17.38650706,4396.615601
130,78.65905826,17.38650706,78.66405826,17.38150706,3264.193057
131,78.66905826,17.38150706,78.67405826,17.37650706,1557.561805
132,78.67405826,17.37650706,78.67905826,17.37150706,978.688608
133,78.67405826,17.37150706,78.67905826,17.36650706,2873.464976
134,78.67905826,17.37150706,78.68405826,17.36650706,3874.313171
135,78.72905826,17.38150706,78.73405826,17.37650706,1653.230265
136,78.73405826,17.38150706,78.73905826,17.37650706,1482.454969
137,78.73405826,17.37650706,78.73905826,17.37150706,5537.10073
138,78.73405826,17.37150706,78.73905826,17.36650706,826.7373191
139,78.73905826,17.37650706,78.74405826,17.37150706,2070.447533
140,78.74905826,17.37150706,78.75405826,17.36650706,1392.558609
141,78.75405826,17.37650706,78.75905826,17.37150706,355.6236038
142,78.75405826,17.37150706,78.75905826,17.36650706,1195.55558
143,78.75905826,17.37650706,78.76405826,17.37150706,942.0164578
144,78.76405826,17.38150706,78.76905826,17.37650706,861.6662602
145,78.76405826,17.37650706,78.76905826,17.37150706,1125.633478
146,78.76905826,17.38150706,78.77405826,17.37650706,940.1094199
147,78.71905826,17.41650706,78.72405826,17.41150706,1746.874109
148,78.71905826,17.41150706,78.72405826,17.40650706,1336.36389
149,78.72405826,17.41150706,78.72905826,17.40650706,755.6653507
150,78.72405826,17.40650706,78.72905826,17.40150706,793.3734466
151,78.72905826,17.40650706,78.73405826,17.40150706,210.2896168
152,78.72905826,17.40150706,78.73405826,17.39650706,1146.875419
153,78.72905826,17.39650706,78.73405826,17.39150706,656.8268188
154,78.73405826,17.39650706,78.73905826,17.39150706,1310.081891
155,78.73405826,17.39150706,78.73905826,17.38650706,1298.211184
